DateTime(UTC),CRNP
2016-10-25 07:46:02,
2016-10-25 08:46:02,
2016-10-25 09:46:02,
2016-10-25 10:46:02,
2016-10-25 11:46:02,
2016-10-25 12:46:02,
2016-10-25 13:46:02,
2016-10-25 14:46:02,
2016-10-25 15:46:02,
2016-10-25 16:46:02,
2016-10-25 17:46:02,
2016-10-25 18:46:02,
2016-10-25 19:46:02,
2016-10-25 20:46:02,
2016-10-25 21:46:02,
2016-10-25 22:46:02,
2016-10-25 23:46:02,
2016-10-26 00:46:02,
2016-10-26 01:46:02,
2016-10-26 02:46:02,
2016-10-26 03:46:02,
2016-10-26 04:46:02,
2016-10-26 05:46:02,
2016-10-26 06:46:02,
2016-10-26 07:46:02,
2016-10-26 08:46:02,
2016-10-26 09:46:02,
2016-10-26 10:46:02,
2016-10-26 11:46:02,
2016-10-26 12:46:02,
2016-10-26 13:46:02,
2016-10-26 14:46:02,
2016-10-26 15:46:02,
2016-10-26 16:46:02,
2016-10-26 17:46:02,
2016-10-26 18:46:02,
2016-10-26 19:46:02,
2016-10-26 20:46:02,
2016-10-26 21:46:02,
2016-10-26 22:46:02,
2016-10-26 23:46:02,
2016-10-27 00:46:02,
2016-10-27 01:46:02,
2016-10-27 02:46:02,
2016-10-27 03:46:02,
2016-10-27 04:46:02,
2016-10-27 05:46:02,
2016-10-27 06:46:02,
2016-10-27 07:46:02,
2016-10-27 08:46:02,
2016-10-27 09:46:02,
2016-10-27 10:46:02,
2016-10-27 11:46:02,
2016-10-27 12:46:02,
2016-10-27 13:46:02,
2016-10-27 14:46:02,
2016-10-27 15:46:02,
2016-10-27 16:46:02,
2016-10-27 17:46:02,
2016-10-27 18:46:02,
2016-10-27 19:46:02,
2016-10-27 20:46:02,
2016-10-27 21:46:02,
2016-10-27 22:46:02,
2016-10-27 23:46:02,
2016-10-28 00:46:02,
2016-10-28 01:46:02,
2016-10-28 02:46:02,
2016-10-28 03:46:02,
2016-10-28 04:46:02,
2016-10-28 05:46:02,
2016-10-28 06:46:02,
2016-10-28 07:46:02,
2016-10-28 08:46:02,
2016-10-28 09:46:02,
2016-10-28 10:46:02,
2016-10-28 11:46:02,
2016-10-28 12:46:03,
2016-10-28 13:46:03,
2016-10-28 14:46:03,
2016-10-28 15:46:03,
2016-10-28 16:46:03,
2016-10-28 17:46:03,
2016-10-28 18:46:03,
2016-10-28 19:46:03,
2016-10-28 20:46:03,
2016-10-28 21:46:03,
2016-10-28 22:46:03,
2016-10-28 23:46:03,
2016-10-29 00:46:03,
2016-10-29 01:46:03,
2016-10-29 02:46:03,
2016-10-29 03:46:03,
2016-10-29 04:46:03,
2016-10-29 05:46:03,
2016-10-29 06:46:03,
2016-10-29 07:46:03,
2016-10-29 08:46:03,
2016-10-29 09:46:03,
2016-10-29 10:46:03,
2016-10-29 11:46:03,
2016-10-29 12:46:03,
2016-10-29 13:46:03,
2016-10-29 14:46:03,
2016-10-29 15:46:03,
2016-10-29 16:46:03,
2016-10-29 17:46:03,
2016-10-29 18:46:03,
2016-10-29 19:46:03,
2016-10-29 20:46:03,
2016-10-29 21:46:03,
2016-10-29 22:46:03,
2016-10-29 23:46:03,
2016-10-30 00:46:03,
2016-10-30 01:46:03,
2016-10-30 02:46:03,
2016-10-30 03:46:03,
2016-10-30 04:46:03,
2016-10-30 05:46:03,
2016-10-30 06:46:03,
2016-10-30 07:46:03,
2016-10-30 08:46:03,
2016-10-30 09:46:03,
2016-10-30 10:46:03,
2016-10-30 11:46:03,
2016-10-30 12:46:03,
2016-10-30 13:46:03,
2016-10-30 14:46:03,
2016-10-30 15:46:03,
2016-10-30 16:46:03,
2016-10-30 17:46:03,
2016-10-30 18:46:03,
2016-10-30 19:46:03,
2016-10-30 20:46:03,
2016-10-30 21:46:03,
2016-10-30 22:46:03,
2016-10-30 23:46:03,
2016-10-31 00:46:03,
2016-10-31 01:46:03,
2016-10-31 02:46:03,
