Timestamp,SM
2017-05-17,17.558155864721023
2017-05-18,17.64387191094941
2017-05-19,17.93457614870133
2017-05-20,22.852364965521463
2017-05-21,24.791058856574164
2017-05-22,26.40792280047701
2017-05-23,28.427226470946902
2017-05-24,26.543803346531543
2017-05-25,24.937010219963355
2017-05-26,26.31988689719677
2017-05-27,30.0470352286312
2017-05-28,29.62202647036553
2017-05-29,26.12070890982744
2017-05-30,24.573579542397255
2017-05-31,27.16031165453281
2017-06-01,26.576312691387724
2017-06-02,26.579955325562835
2017-06-03,25.148014610127376
2017-06-04,25.802161169653456
2017-06-05,25.31275199792331
2017-06-06,23.595996710236204
2017-06-07,22.010432794696097
2017-06-08,21.320892602828543
2017-06-09,20.376051380962938
2017-06-10,20.71226969115021
2017-06-11,19.620642179903914
2017-06-12,18.62750920762274
